disaster.event,user.anon,latitude,longitude.anon,time
08_Rammasun_Manila,11013,121.01398,9.54167465719,2014-07-22 18:20:29
08_Rammasun_Manila,30482,121.02553200000001,9.561469657189999,2014-07-29 11:11:56
08_Rammasun_Manila,18074,121.001306,9.53808865719,2014-07-26 23:56:23
08_Rammasun_Manila,519,121.02554599999999,9.57227065719,2014-06-08 11:05:29
08_Rammasun_Manila,5957,120.99153100000001,9.595679657189999,2014-06-08 17:42:47
08_Rammasun_Manila,13985,120.984245,9.56369165719,2014-08-02 18:47:44
08_Rammasun_Manila,3654,121.01601799999999,9.55139465719,2014-07-29 16:14:32
08_Rammasun_Manila,34803,120.98026200000001,9.59117665719,2014-07-16 17:40:48
08_Rammasun_Manila,21171,120.97,9.59442465719,2014-07-04 04:11:28
08_Rammasun_Manila,10502,120.971345,9.57467065719,2014-08-01 09:14:47
08_Rammasun_Manila,6406,120.97738999999999,9.56191765719,2014-07-30 01:00:34
08_Rammasun_Manila,20313,120.96906200000001,9.58927365719,2014-07-07 22:32:24
08_Rammasun_Manila,30517,121.003149,9.549338657189999,2014-07-26 15:25:44
08_Rammasun_Manila,5641,120.99031399999998,9.54217665719,2014-07-30 22:20:25
08_Rammasun_Manila,32054,121.018927,9.59401265719,2014-07-14 14:12:14
08_Rammasun_Manila,1817,120.995599,9.53770265719,2014-07-08 02:03:08
08_Rammasun_Manila,4455,120.99561299999999,9.54885065719,2014-07-26 01:59:36
08_Rammasun_Manila,29537,120.99213700000001,9.58718565719,2014-07-07 21:00:32
08_Rammasun_Manila,27109,121.015546,9.53495765719,2014-07-29 18:48:54
08_Rammasun_Manila,23167,121.00765600000001,9.58737265719,2014-07-07 20:01:02
08_Rammasun_Manila,23390,120.99193100000001,9.55521865719,2014-07-19 20:59:30
08_Rammasun_Manila,461,120.99801000000001,9.54885565719,2014-07-12 22:52:48
08_Rammasun_Manila,15571,121.00403100000001,9.57672065719,2014-07-18 20:28:49
08_Rammasun_Manila,28942,121.004648,9.584490657189999,2014-07-24 00:20:50
08_Rammasun_Manila,30383,120.98263500000002,9.57957965719,2014-06-07 15:04:19
08_Rammasun_Manila,10502,120.970914,9.574761657189999,2014-07-25 00:16:16
08_Rammasun_Manila,3310,121.02013999999998,9.56209565719,2014-07-19 11:56:58
08_Rammasun_Manila,20235,120.97737099999999,9.56779965719,2014-07-10 21:32:42
08_Rammasun_Manila,23377,120.985153,9.589847657189999,2014-07-10 21:52:03
08_Rammasun_Manila,2502,120.98951699999999,9.58007765719,2014-07-03 20:56:21
08_Rammasun_Manila,9275,120.96536499999999,9.57380565719,2014-07-19 21:12:48
08_Rammasun_Manila,6482,120.99875300000001,9.56157365719,2014-07-07 20:42:01
08_Rammasun_Manila,23458,120.99545,9.57765465719,2014-07-30 16:20:49
